smiles,name,d,chemistry
[P+]1(/N=N/O[B-](c2c(F)c(F)c(c(c2F)F)F)(c2c(F)c(F)c(c(c2F)F)F)c2c3Oc4c1cccc4C(c3ccc2)(C)C)(c1c(cc(cc1C)C)C)c1c(cc(cc1C)C)C,m276_d12,12,diverse-strong
CC1=C(C(CCC1)(C)C)CC/C(=C/CCC2=CC[C@@H](O[C@H]2O)C3=CC(=O)O[C@H]3O)/C,m314_d13,13,diverse-strong
O=C(C[C@@H](O)CCCCC)CCc1cc(OC)c(O)cc1,m340_d14,14,diverse-strong
CC(C)(C)C[C@H](O)C(=O)N[C@H]1CCN(C(=O)C2(CO)CC2)CC1(C)C,m371_d15,15,diverse-strong
CCC[C@H](NC(=O)CCNC(=O)c1ccco1)C(=O)OC(C)(C)C,m397_d16,16,diverse-strong
CCCCC/C=C\C=C\C(=O)O[C@H]1C(=C[C@@]23[C@@]1([C@@H](C(=C[C@@H](C2=O)[C@H]1[C@H](C1(C)C)C[C@H]3C)CO)O)O)C,m417_d17,17,diverse-strong
CC(C)C[C@@H](C(=O)N[C@@H](Cc1ccc(cc1)O)[C@H](C)O)NC(=O)OCc2ccccc2,m434_d18,18,diverse-strong
S=P(c1c(cc(cc1C)C)C)(c1c(cc(cc1C)C)C)CCC1=C([P+]([B-]1(c1c(F)c(F)c(c(c1F)F)F)c1c(F)c(F)c(c(c1F)F)F)(c1ccccc1)c1ccccc1)[Si](C)(C)C,m451_d19,19,diverse-strong
CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)n5cnnn5)C)C)O)OC)C)C)C)OC,m468_d19,19,diverse-strong
C[Si](C(C)(C)C)(OC1=C[C@]2(C(=O)N(c3c2cccc3)Cc2ccccc2)[C@]2(C[C@H]1O[Si](C(C)(C)C)(C)C)C(=O)N(c1c2cccc1)Cc1ccccc1)C,m480_d20,20,diverse-strong
[H]/N=C(/c1ccc(cc1)CNC(=O)[C@H](CCC(=O)N)NC(=O)[C@@H](Cc2c[nH]c3c2cc(cc3)OCc4cccc(c4)C(=O)O)NS(=O)(=O)CC)\N,ligexpo_359,20,irregular
CCOP(=O)(COc1ccc(cc1)C[C@@H]([C@@H](C[N@](CC(C)C)S(=O)(=O)c2ccc(cc2)OC)O)NC(=O)O[C@H]3CO[C@@H]4[C@H]3CCO4)OCC,ligexpo_KGQ,21,irregular
CC(C)[C@@H](C(=O)Nc1cc(cc(c1)C(=O)O)C(=O)O)NC(=O)C[C@H]([C@H](COc2cc(cc(c2)F)F)NC(=O)c3cc(cc(c3)N(C)S(=O)(=O)C)C(=O)N[C@H](C)c4ccccc4)O,ligexpo_757,23,irregular
CCCS(Nc1ccc(c(c1F)C(=O)c2c[nH]c3c2cc(cn3)c4ccc(cc4)CNC(=O)COCC(=O)NCc5ccc(cc5)c6cc7c(c[nH]c7nc6)C(=O)c8c(ccc(c8F)NS(CCC)(O)O)F)F)(O)O,ligexpo_6NC,24,irregular
C[C@H]([C@@H](C(=O)N1CCC[C@H]1Cn2c(nnn2)Sc3ccccc3)NC(=O)[C@H](C)NC)OCC#CC#CCO[C@H](C)[C@@H](C(=O)N4CCC[C@H]4Cn5c(nnn5)Sc6ccccc6)NC(=O)[C@H](C)NC,ligexpo_CZ3,26,irregular
